City,Country,CountryCode,DepartmentNameNative,InstituteNameHEPnew,InstituteNameHEPold,InstituteNameNative,Latitude,Longitude,ZIPcode,recid,LatitudeCity,LongitudeCity
Tebessa,Algeria,DZ,,U. Tebessa,U. Tebessa,Université Labri Tébessi,35.422159,8.0795988,12002,1217042,35.4142494,8.101092
Chlef,Algeria,DZ,,,"Hassiba Benbouali U., Chlef",Université Hassiba Benbouali de Chlef [l'UHBC],36.2173874,1.324666,2000,1245396,36.147424,1.3083685
El-Oued,Algeria,DZ,,,El-Oued U.,El-Oued University,36.9218173,7.7541442,39000,1258059,33.3713397,6.8479682
Tebessa,Algeria,DZ,Laboratoire de Physique Appliquée et Théorique (LPAT),"U. Tebessa, LPAT","U. Tebessa, LPAT",Université Labri Tébessi - Tébessa,,,12002,1511159,35.4142494,8.101092
Neuquen,Argentina,AR,,,Comahue U.,Universidad Nacional del Comahue,-38.9401499,-68.0573579,Q8300IBX,1286504,-38.9516784,-68.0591888
El Leoncito,Argentina,AR,University of Cuyo,"Yale Southern Obs., Argentina",Yale Southern Observ.,Yale Southern Obervatory,-38.416097,-63.616672,,908975,-31.7974153,-69.373951
Buenos Aires,Argentina,AR,,"ITeDA, Buenos Aires","ITeDA, Buenos Aires",Instituto de Tecnologias en Deteccion y Astroparticulas (ITeDA),-38.0014678,-57.5416996,1650,917746,-34.6036844,-58.3815591
Buenos Aires,Argentina,AR,,,"IFIMAR, Buenos Aires",Instituto de Investigaciones Físicas Mar del Plata (IFIMAR),-37.996959,-57.5462523,,1209339,-34.6036844,-58.3815591
La Pampa,Argentina,AR,,"U.Nat., La Pampa","U.Nat., La Pampa",Universidad Nacional de La Pampa (UNLPam),-36.6204407,-64.2899992,6300,1470825,-36.6147573,-64.2839209
La Plata,Argentina,AR,Departamento de Fisica de la Facultad de Ciencias Exactas,"UNLP, La Plata, Dept. Phys.",La Plata U.,Universidad Nacional de La Plata (UNLP),-34.9173012,-57.9501305,,902950,-34.9204948,-57.9535657
Bariloche,Argentina,AR,Grupo de Particulas Elementales,"CAB, Bariloche, Dept. Phys.",Centro Atomico Bariloche,Centro Atomico Bariloche (CAB),-34.7876585,-58.6121593,8400,902724,-41.1334722,-71.3102778
Buenos Aires,Argentina,AR,,"CONICET, Buenos Aires","Buenos Aires, CONICET",Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),-34.6243095,-58.4506455,,903418,-34.6036844,-58.3815591
Buenos Aires,Argentina,AR,Grupo Astroparticulas,"CNEA, Buenos Aires, Grupo Astroparticules","CNEA, Buenos Aires",Comision Nacional de Energia Atomica (CNEA),-34.6036844,-58.3815591,1429,902700,-34.6036844,-58.3815591
